token0,token1Price,token0Price,volumeToken1,volumeToken0,blockNumber,reserve0,token1,txCount,reserve1,createdAtTimestamp,exchange,reserveUSD,id,volumeUSD
"{'id': '0x6b175474e89094c44da98b954eedeac495271d0f', 'symbol': 'DAI', 'decimals': '18'}",0.00500938585772666097515033169685683,199.6252691250691386444998815205272,1637.195875085384372352,340737.588024795502995361,10110571,562913.588024678890354366,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",1203,2819.851366972998337107,1589164213,univ2,1125901.462753315470996663472736084,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,303008.8535088875044955044766929434
"{'id': '0x6b175474e89094c44da98b954eedeac495271d0f', 'symbol': 'DAI', 'decimals': '18'}",0.005065586174874772419042487176226083,197.4105198249285023471624040236969,1968.523219050701852452,405802.867032123684125989,10112571,567460.084033544576488913,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",1350,2874.517956473599989295,1589164213,univ2,1135553.914433991113028889698337057,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,368174.8244455219285450710374411975
"{'id': '0x6b175474e89094c44da98b954eedeac495271d0f', 'symbol': 'DAI', 'decimals': '18'}",0.004985915025144933965770115757194411,200.5649905697964277925241084303968,2061.281926685108035346,424243.975528930081307704,10114571,572564.853003546519047948,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",1435,2854.759703460283062414,1589164213,univ2,1147217.056917612172891147612217156,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,386653.4015429983309725879743295015
"{'id': '0x6b175474e89094c44da98b954eedeac495271d0f', 'symbol': 'DAI', 'decimals': '18'}",0.004889118532905247900793464769517918,204.5358469568077049651158765796054,2308.540025409377056952,474055.409280387511539835,10116571,635345.640934485797322612,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",1565,3106.280147893357617315,1589164213,univ2,1270000.629035469910375402040889875,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,436538.7093174915705700907261913482
"{'id': '0x6b175474e89094c44da98b954eedeac495271d0f', 'symbol': 'DAI', 'decimals': '18'}",0.004816294869398398009662123370308193,207.6284835369537307724405202823703,2604.955239838011228819,535733.07249067470457037,10118571,1890827.130913533081218808,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",1714,9106.781009538142427307,1589164213,univ2,3783507.740694752882578489220951127,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,498188.2461493610323117228312244355
"{'id': '0x6b175474e89094c44da98b954eedeac495271d0f', 'symbol': 'DAI', 'decimals': '18'}",0.004801308376588273293518034123804555,208.2765616297661571253855346647271,2743.898399545878666394,564702.031018441963241275,10120571,1892238.33195322153377257,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",1798,9085.219753708424265945,1589164213,univ2,3782617.572103838090197923224765416,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,527169.4574589774408774351657640174
"{'id': '0x6b175474e89094c44da98b954eedeac495271d0f', 'symbol': 'DAI', 'decimals': '18'}",0.004865187040290872502365530033273441,205.5419435508924443197311067659546,2986.914868640719590874,614759.613223307489105152,10122571,1884851.340522305080254685,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",1900,9170.154314783996933386,1589164213,univ2,3770838.728040406038363822898753987,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,577295.3632654942297288968321338206
"{'id': '0x6b175474e89094c44da98b954eedeac495271d0f', 'symbol': 'DAI', 'decimals': '18'}",0.004815317431671536160061903251096281,207.6706290270195197076625057901587,3152.555857324579688624,649051.138176292187452579,10124571,1919773.023047069215674629,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",2030,9244.316502731314131789,1589164213,univ2,3838105.929427770191567553968013977,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,611586.3777301074792119227282982209
"{'id': '0x6b175474e89094c44da98b954eedeac495271d0f', 'symbol': 'DAI', 'decimals': '18'}",0.00479564237796153368724724625249029,208.5226380923479897176122459917249,3259.805926286455780619,671324.881093927194114787,10126571,1924069.73144520588035993,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",2105,9227.150342271696636741,1589164213,univ2,3847803.109714838361673039663017528,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,633861.9885342917020718286969549107
"{'id': '0x6b175474e89094c44da98b954eedeac495271d0f', 'symbol': 'DAI', 'decimals': '18'}",0.004843183098978640676158808411061996,206.4757783390196338754826027116303,3572.141308589346526495,736454.200144166469520097,10128571,1910298.055266733549592906,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",2173,9251.923255279609189529,1589164213,univ2,3821883.598573620683041142430895796,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,699046.8516122981015750138797060775
